data;mês;dia_mes;dia_semana;setor;turno;carro;tempo_coleta;horas_coleta;tempo_trajeto;horas_trajeto;tempo_aterro;horas_aterro;km_coleta;km_trajeto;producao;producao_ton;viagens;ton/h;ton/km
02/04/2021;abr;2;sex;21;NOTURNO;33049;06:51:00;6,85;00:37:00;0,62;00:12:00;0,2;46;14;10.780;10,78;1;1,574;0,234
03/04/2021;abr;3;sáb;9;DIURNO;32051;06:01:00;6,02;00:54:00;0,9;00:40:00;0,67;33;41;14.510;14,51;2;2,412;0,44
03/04/2021;abr;3;sáb;13;DIURNO;32049;05:09:00;5,15;01:59:00;1,98;00:28:00;0,47;40;57;11.840;11,84;2;2,299;0,296
03/04/2021;abr;3;sáb;14;DIURNO;33046;04:50:00;4,83;01:10:00;1,17;00:10:00;0,17;37;43;10.340;10,34;1;2,139;0,279
03/04/2021;abr;3;sáb;16;DIURNO;31912;05:33:00;5,55;01:39:00;1,65;00:25:00;0,42;33;55;12.830;12,83;2;2,312;0,389
03/04/2021;abr;3;sáb;18;DIURNO;33024;06:43:00;6,72;01:14:00;1,23;00:08:00;0,13;59;49;10.470;10,47;1;1,559;0,177
03/04/2021;abr;3;sáb;20;DIURNO;33049;06:00:00;6;01:52:00;1,87;00:23:00;0,38;41;54;13.940;13,94;2;2,323;0,34
03/04/2021;abr;3;sáb;20;DIURNO;32050;04:21:00;4,35;00:30:00;0,5;00:10:00;0,17;31;19;2.190;2,19;1;0,503;0,071
03/04/2021;abr;3;sáb;3;NOTURNO;32048;06:17:00;6,28;00:45:00;0,75;00:22:00;0,37;42;24;6.890;6,89;2;1,097;0,164
03/04/2021;abr;3;sáb;4;NOTURNO;33024;05:45:00;5,75;00:40:00;0,67;00:05:00;0,08;44;16;10.470;10,47;1;1,821;0,238
03/04/2021;abr;3;sáb;5;NOTURNO;33048;06:00:00;6;00:48:00;0,8;00:19:00;0,32;33;21;11.720;11,72;1;1,953;0,355
03/04/2021;abr;3;sáb;7;NOTURNO;32050;05:37:00;5,62;01:14:00;1,23;00:30:00;0,5;35;44;12.940;12,94;2;2,304;0,37
03/04/2021;abr;3;sáb;21;NOTURNO;33049;07:15:00;7,25;01:04:00;1,07;00:03:00;0,05;46;13;11.540;11,54;1;1,592;0,251
04/04/2021;abr;4;dom;8;DIURNO;31912;07:34:00;7,57;01:50:00;1,83;00:20:00;0,33;34;46;14.270;14,27;2;1,886;0,42
04/04/2021;abr;4;dom;10;DIURNO;33049;04:23:00;4,38;00:27:00;0,45;00:25:00;0,42;36;16;12.190;12,19;1;2,781;0,339
04/04/2021;abr;4;dom;12;DIURNO;32049;07:30:00;7,5;01:23:00;1,38;00:45:00;0,75;37;51;15.350;15,35;2;2,047;0,415
04/04/2021;abr;4;dom;15;DIURNO;32048;05:00:00;5;01:00:00;1;00:15:00;0,25;40;19;13.990;13,99;2;2,798;0,35
04/04/2021;abr;4;dom;17;DIURNO;33049;05:50:00;5,83;00:50:00;0,83;00:15:00;0,25;48;15;16.010;16,01;2;2,745;0,334
04/04/2021;abr;4;dom;19;DIURNO;33024;06:23:00;6,38;00:49:00;0,82;00:06:00;0,1;47;20;11.680;11,68;1;1,83;0,249
04/04/2021;abr;4;dom;1;NOTURNO;32048;06:06:00;6,1;00:58:00;0,97;00:17:00;0,28;34;31;12.850;12,85;2;2,107;0,378
04/04/2021;abr;4;dom;2;NOTURNO;33024;05:00:00;5;00:30:00;0,5;00:05:00;0,08;39;16;9.890;9,89;1;1,978;0,254
04/04/2021;abr;4;dom;6;NOTURNO;33048;05:50:00;5,83;00:38:00;0,63;00:10:00;0,17;42;19;11.360;11,36;1;1,947;0,27
04/04/2021;abr;4;dom;11;NOTURNO;32051;05:13:00;5,22;00:45:00;0,75;00:15:00;0,25;38;22;11.010;11,01;2;2,111;0,29
04/04/2021;abr;4;dom;21;NOTURNO;33049;05:52:00;5,87;00:35:00;0,58;00:15:00;0,25;46;14;9.580;9,58;1;1,633;0,208
06/04/2021;abr;6;ter;9;DIURNO;33048;08:05:00;8,08;01:20:00;1,33;00:20:00;0,33;31;40;20.830;20,83;2;2,577;0,672
06/04/2021;abr;6;ter;13;DIURNO;32049;08:07:00;8,12;02:35:00;2,58;00:31:00;0,52;44;57;17.540;17,54;2;2,161;0,399
06/04/2021;abr;6;ter;14;DIURNO;32048;07:50:00;7,83;02:24:00;2,4;00:27:00;0,45;39;65;15.950;15,95;2;2,036;0,409
06/04/2021;abr;6;ter;16;DIURNO;31912;08:28:00;8,47;01:58:00;1,97;00:13:00;0,22;31;56;20.300;20,3;2;2,398;0,655
06/04/2021;abr;6;ter;18;DIURNO;33024;07:26:00;7,43;02:22:00;2,37;00:22:00;0,37;58;85;12.600;12,6;2;1,695;0,217
06/04/2021;abr;6;ter;20;DIURNO;32051;07:10:00;7,17;02:56:00;2,93;00:44:00;0,73;42;77;17.580;17,58;3;2,453;0,419
06/04/2021;abr;6;ter;3;NOTURNO;31912;06:43:00;6,72;00:42:00;0,7;00:22:00;0,37;47;19;17.840;17,84;2;2,656;0,38
